Country,Date,Product,AMI,MOSact,MOSproj,Order
Burundi,7/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",9276,14.53,,
Burundi,7/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1388,7.43,,
Burundi,7/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",19,73.74,,
Burundi,7/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",31,25.97,,
Burundi,8/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",985,9.41,,
Burundi,8/31/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",1632.666667,5.53,,
Burundi,8/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",2314.333333,2.47,,
Burundi,8/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",11.33333333,121.15,,
Burundi,8/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",575.3333333,0.5,,
Burundi,8/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",2831.666667,24.92,,
Burundi,8/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",33862,5.88,,
Burundi,8/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1611.333333,0.66,,
Burundi,8/31/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",416.6666667,3,,
Burundi,8/31/2018,"Bioline HIV/Syphilis DUO, 25 Tests",778.6666667,6.63,,
Burundi,8/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",224.6666667,6.05,,
Burundi,8/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",2719,3.22,,
Burundi,8/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",2956,25.64,,
Burundi,8/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",344.3333333,4.38,,
Burundi,8/31/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",496.3333333,5.2,,
Burundi,8/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",33,22.79,,
Burundi,8/31/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",734.3333333,4.93,,
Burundi,8/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",1796.666667,9.86,,
Burundi,8/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",7826,16.03,,
Burundi,8/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1471,5.8,,
Burundi,8/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",16,87.06,,
Burundi,8/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",15.33333333,51.33,,
Burundi,9/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",930,9,,
Burundi,9/30/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",1552,5.15,,
Burundi,9/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",2064,1.59,,
Burundi,9/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",16,68.5,,
Burundi,9/30/2018,"Efavirenz 200 mg Capsules, 90 Caps",457,10.94,,
Burundi,9/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",3390,20.07,,
Burundi,9/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",35831,9.65,,
Burundi,9/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1471,1.06,,
Burundi,9/30/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",400,2.75,,
Burundi,9/30/2018,"Bioline HIV/Syphilis DUO, 25 Tests",1084,4.82,,
Burundi,9/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",235,4.69,,
Burundi,9/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",3167,1.37,,
Burundi,9/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3340,21.89,,
Burundi,9/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",393,3.42,,
Burundi,9/30/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",550,7.36,,
Burundi,9/30/2018,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",485,0,,
Burundi,9/30/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",30,24.17,,
Burundi,9/30/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",779,3.7,,
Burundi,9/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",3055,5.38,,
Burundi,9/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",10001,11.76,,
Burundi,9/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1452,4.66,,
Burundi,9/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",16,86.12,,
Burundi,9/30/2018,"Ritonavir 100 mg Tablet, 30 Tabs",16,49,,
Burundi,9/30/2018,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",881,0.86,,
Burundi,10/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",1124,6,,
Burundi,10/31/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",1552,5.14,,
Burundi,10/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",2094,0.52,,
Burundi,10/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",18,75,,
Burundi,10/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",552,9.06,,
Burundi,10/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",3406,19.01,,
Burundi,10/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",39681,7.96,,
Burundi,10/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",583,1.86,,
Burundi,10/31/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",500,2.2,,
Burundi,10/31/2018,"Bioline HIV/Syphilis DUO, 25 Tests",1033,3.95,,
Burundi,10/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",235,3.88,,
Burundi,10/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",3409,3.83,,
Burundi,10/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3309,23.98,,
Burundi,10/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",393,2.94,,
Burundi,10/31/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",537,6.35,,
Burundi,10/31/2018,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",0,0,,
Burundi,10/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",40,15.75,,
Burundi,10/31/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",800,3.6,,
Burundi,10/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",2112,6.62,,
Burundi,10/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",9691,11.28,,
Burundi,10/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1516,3.6,,
Burundi,10/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",18,76.17,,
Burundi,10/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",18,43,,
Burundi,10/31/2018,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",885,0,,
Burundi,11/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",827,7,,
Burundi,11/30/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",1338,4.71,,
Burundi,11/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",2094,6.58,,
Burundi,11/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",18,73.89,,
Burundi,11/30/2018,"Dolutegravir/Lamivudine/Tenofovir 50/300/300 mg Tablet, 30 Tabs",0,0,,
Burundi,11/30/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",0,0,,
Burundi,11/30/2018,"Efavirenz 200 mg Capsules, 90 Caps",552,14.71,,
Burundi,11/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",3406,18.17,,
Burundi,11/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",39681,6.94,,
Burundi,11/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",583,0.78,,
Burundi,11/30/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",500,1.2,,
Burundi,11/30/2018,"Bioline HIV/Syphilis DUO, 25 Tests",1033,3.12,,
Burundi,11/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",235,3.06,,
Burundi,11/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",3409,2.76,,
Burundi,11/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3309,20.54,,
Burundi,11/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",393,1.93,,
Burundi,11/30/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",537,5.96,,
Burundi,11/30/2018,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",0,0,,
Burundi,11/30/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",40,15.1,,
Burundi,11/30/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",800,2.1,,
Burundi,11/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",2081,5.76,,
Burundi,11/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",8207,12.17,,
Burundi,11/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1452,5.03,,
Burundi,11/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",18,75.11,,
Burundi,11/30/2018,"Ritonavir 100 mg Tablet, 30 Tabs",18,37,,
Burundi,11/30/2018,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",0,0,,
Burundi,12/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",836,5.79,5.79,
Burundi,12/31/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",2099,2.43,2.43,
Burundi,12/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",2094,1.91,1.91,
Burundi,12/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",18,72.67,72.67,
Burundi,12/31/2018,"Dolutegravir/Lamivudine/Tenofovir 50/300/300 mg Tablet, 30 Tabs",0,0,0,
Burundi,12/31/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",0,0,0,
Burundi,12/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",552,10.58,10.58,
Burundi,12/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",3406,17.38,17.38,
Burundi,12/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",35938,5.76,5.76,
Burundi,12/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",600,2.95,2.95,
Burundi,12/31/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",500,1.2,1.2,
Burundi,12/31/2018,"Bioline HIV/Syphilis DUO, 25 Tests",1033,2.53,2.53,
Burundi,12/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",235,2.6,2.6,
Burundi,12/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",3409,1.65,1.65,
Burundi,12/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3309,19.75,19.75,
Burundi,12/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",393,5.95,5.95,
Burundi,12/31/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",537,5.5,5.5,
Burundi,12/31/2018,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",489,0,0,
Burundi,12/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",40,14.68,14.68,
Burundi,12/31/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",800,2.26,2.26,
Burundi,12/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",1928,5.4,5.4,
Burundi,12/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",11000,8.29,8.29,
Burundi,12/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1452,4.58,4.58,
Burundi,12/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",18,74.39,74.39,
Burundi,12/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",18,35.56,35.56,
Burundi,12/31/2018,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",885,22.74,22.74,
Burundi,1/31/2019,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",1050,,5.11,
Burundi,1/31/2019,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",1453,,13.58,
Burundi,1/31/2019,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",2069,,3.29,
Burundi,1/31/2019,"Darunavir 600 mg Tablet, 60 Tabs",18,,71.39,
Burundi,1/31/2019,"Dolutegravir/Lamivudine/Tenofovir 50/300/300 mg Tablet, 30 Tabs",0,,0,
Burundi,1/31/2019,"Dolutegravir 50 mg Tablet, 30 Tabs",0,,0,
Burundi,1/31/2019,"Efavirenz 200 mg Capsules, 90 Caps",493,,11.09,
Burundi,1/31/2019,"Efavirenz 600 mg Tablet, 30 Tabs",3100,,18.02,
Burundi,1/31/2019,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",39880,,5.02,
Burundi,1/31/2019,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",600,,10.19,
Burundi,1/31/2019,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",600,,0.5,
Burundi,1/31/2019,"Bioline HIV/Syphilis DUO, 25 Tests",1032,,5.46,
Burundi,1/31/2019,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",235,,2.03,
Burundi,1/31/2019,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",2714,,0.3,
Burundi,1/31/2019,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3104,,20.08,
Burundi,1/31/2019,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",393,,5.42,
Burundi,1/31/2019,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",390,,9.57,
Burundi,1/31/2019,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",0,,,
Burundi,1/31/2019,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",84,,6.83,
Burundi,1/31/2019,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",891,,3.23,
Burundi,1/31/2019,"Nevirapine 200 mg Tablet, 60 Tabs",2086,,4.67,
Burundi,1/31/2019,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",9166,,8.92,
Burundi,1/31/2019,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",1200,,10.1,
Burundi,1/31/2019,"Raltegravir 400 mg Tablet, 60 Tabs",18,,73.78,
Burundi,1/31/2019,"Ritonavir 100 mg Tablet, 30 Tabs",18,,34.67,
Burundi,1/31/2019,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",1688,,10.92,
Burundi,2/28/2019,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",1061,,4.08,
Burundi,2/28/2019,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",1675,,10.77,
Burundi,2/28/2019,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",2069,,2.05,
Burundi,2/28/2019,"Darunavir 600 mg Tablet, 60 Tabs",18,,70.06,
Burundi,2/28/2019,"Dolutegravir/Lamivudine/Tenofovir 50/300/300 mg Tablet, 30 Tabs",0,,0,
Burundi,2/28/2019,"Dolutegravir 50 mg Tablet, 30 Tabs",0,,,
Burundi,2/28/2019,"Efavirenz 200 mg Capsules, 90 Caps",403,,12.76,
Burundi,2/28/2019,"Efavirenz 600 mg Tablet, 30 Tabs",3100,,17.2,
Burundi,2/28/2019,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",37532,,3.63,
Burundi,2/28/2019,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",600,,9.31,
Burundi,2/28/2019,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",500,,20,
Burundi,2/28/2019,"Bioline HIV/Syphilis DUO, 25 Tests",1013,,2.78,
Burundi,2/28/2019,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",179,,2.08,
Burundi,2/28/2019,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",2714,,0.02,
Burundi,2/28/2019,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",3104,,19.5,
Burundi,2/28/2019,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",393,,4.7,
Burundi,2/28/2019,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",592,,5.11,
Burundi,2/28/2019,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",60,,7.97,
Burundi,2/28/2019,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",40,,13.18,
Burundi,2/28/2019,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",891,,3.23,
Burundi,2/28/2019,"Nevirapine 200 mg Tablet, 60 Tabs",1965,,3.82,
Burundi,2/28/2019,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",9166,,7.98,
