Country,Date,Product,SOH,AMI,MOSact,MOSproj
Burundi,8/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",787,15.33333333,51.33,
Burundi,9/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",8371,930,9,
Burundi,9/30/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",7986,1552,5.15,
Burundi,9/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",3291,2064,1.59,
Burundi,9/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",1096,16,68.5,
Burundi,9/30/2018,"Efavirenz 200 mg Capsules, 90 Caps",5000,457,10.94,
Burundi,9/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",68035,3390,20.07,
Burundi,9/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",345705,35831,9.65,
Burundi,9/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1563,1471,1.06,
Burundi,9/30/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",1100,400,2.75,
Burundi,9/30/2018,"Bioline HIV/Syphilis DUO, 25 Tests",5227,1084,4.82,
Burundi,9/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",1102,235,4.69,
Burundi,9/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",4348,3167,1.37,
Burundi,9/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",73103,3340,21.89,
Burundi,9/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",1345,393,3.42,
Burundi,9/30/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",4050,550,7.36,
Burundi,9/30/2018,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",0,485,0,
Burundi,9/30/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",725,30,24.17,
Burundi,9/30/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",2879,779,3.7,
Burundi,9/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",16429,3055,5.38,
Burundi,9/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",117568,10001,11.76,
Burundi,9/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",6773,1452,4.66,
Burundi,9/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",1378,16,86.12,
Burundi,9/30/2018,"Ritonavir 100 mg Tablet, 30 Tabs",784,16,49,
Burundi,9/30/2018,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",762,881,0.86,
Burundi,10/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",6739,1124,6,
Burundi,10/31/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",7970,1552,5.14,
Burundi,10/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",1093,2094,0.52,
Burundi,10/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",1350,18,75,
Burundi,10/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",5000,552,9.06,
Burundi,10/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",64736,3406,19.01,
Burundi,10/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",315665,39681,7.96,
Burundi,10/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1082,583,1.86,
Burundi,10/31/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",1100,500,2.2,
Burundi,10/31/2018,"Bioline HIV/Syphilis DUO, 25 Tests",4081,1033,3.95,
Burundi,10/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",911,235,3.88,
Burundi,10/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",13043,3409,3.83,
Burundi,10/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",79366,3309,23.98,
Burundi,10/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",1157,393,2.94,
Burundi,10/31/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",3412,537,6.35,
Burundi,10/31/2018,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",0,0,0,
Burundi,10/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",630,40,15.75,
Burundi,10/31/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",2879,800,3.6,
Burundi,10/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",13980,2112,6.62,
Burundi,10/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",109291,9691,11.28,
Burundi,10/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",5451,1516,3.6,
Burundi,10/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",1371,18,76.17,
Burundi,10/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",774,18,43,
Burundi,10/31/2018,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",0,885,0,
Burundi,11/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",5791,827,7,
Burundi,11/30/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",6307,1338,4.71,
Burundi,11/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",13784,2094,6.58,
Burundi,11/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",1330,18,73.89,
Burundi,11/30/2018,"Dolutegravir/Lamivudine/Tenofovir 50/300/300 mg Tablet, 30 Tabs",0,0,0,
Burundi,11/30/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",0,0,0,
Burundi,11/30/2018,"Efavirenz 200 mg Capsules, 90 Caps",8119,552,14.71,
Burundi,11/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",61874,3406,18.17,
Burundi,11/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",275362,39681,6.94,
Burundi,11/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",455,583,0.78,
Burundi,11/30/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",600,500,1.2,
Burundi,11/30/2018,"Bioline HIV/Syphilis DUO, 25 Tests",3226,1033,3.12,
Burundi,11/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",719,235,3.06,
Burundi,11/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",9412,3409,2.76,
Burundi,11/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",67983,3309,20.54,
Burundi,11/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",757,393,1.93,
Burundi,11/30/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",3198,537,5.96,
Burundi,11/30/2018,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",0,0,0,
Burundi,11/30/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",604,40,15.1,
Burundi,11/30/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",1680,800,2.1,
Burundi,11/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",11992,2081,5.76,
Burundi,11/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",99852,8207,12.17,
Burundi,11/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",7307,1452,5.03,
Burundi,11/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",1352,18,75.11,
Burundi,11/30/2018,"Ritonavir 100 mg Tablet, 30 Tabs",666,18,37,
Burundi,11/30/2018,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",0,0,0,
Burundi,12/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",4844,836,5.79,5.79
Burundi,12/31/2018,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",5099,2099,2.43,2.43
Burundi,12/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",4000,2094,1.91,1.91
Burundi,12/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",1308,18,72.67,72.67
Burundi,12/31/2018,"Dolutegravir/Lamivudine/Tenofovir 50/300/300 mg Tablet, 30 Tabs",0,0,0,0
Burundi,12/31/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",0,0,0,0
Burundi,12/31/2018,"Efavirenz 200 mg Capsules, 90 Caps",5839,552,10.58,10.58
Burundi,12/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",59183,3406,17.38,17.38
Burundi,12/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",206903,35938,5.76,5.76
Burundi,12/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",1768,600,2.95,2.95
Burundi,12/31/2018,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",600,500,1.2,1.2
Burundi,12/31/2018,"Bioline HIV/Syphilis DUO, 25 Tests",2612,1033,2.53,2.53
Burundi,12/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",612,235,2.6,2.6
Burundi,12/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",5629,3409,1.65,1.65
Burundi,12/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",65342,3309,19.75,19.75
Burundi,12/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",2337,393,5.95,5.95
Burundi,12/31/2018,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",2953,537,5.5,5.5
Burundi,12/31/2018,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",0,489,0,0
Burundi,12/31/2018,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",587,40,14.68,14.68
Burundi,12/31/2018,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",1811,800,2.26,2.26
Burundi,12/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",10408,1928,5.4,5.4
Burundi,12/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",91213,11000,8.29,8.29
Burundi,12/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",6646,1452,4.58,4.58
Burundi,12/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",1339,18,74.39,74.39
Burundi,12/31/2018,"Ritonavir 100 mg Tablet, 30 Tabs",640,18,35.56,35.56
Burundi,12/31/2018,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",20123,885,22.74,22.74
Burundi,1/31/2019,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",5366,1050,,5.11
Burundi,1/31/2019,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",19725,1453,,13.58
Burundi,1/31/2019,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",6803,2069,,3.29
Burundi,1/31/2019,"Darunavir 600 mg Tablet, 60 Tabs",1285,18,,71.39
Burundi,1/31/2019,"Dolutegravir/Lamivudine/Tenofovir 50/300/300 mg Tablet, 30 Tabs",0,0,,0
Burundi,1/31/2019,"Dolutegravir 50 mg Tablet, 30 Tabs",0,0,,0
Burundi,1/31/2019,"Efavirenz 200 mg Capsules, 90 Caps",5469,493,,11.09
Burundi,1/31/2019,"Efavirenz 600 mg Tablet, 30 Tabs",55873,3100,,18.02
Burundi,1/31/2019,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",200000,39880,,5.02
Burundi,1/31/2019,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",6116,600,,10.19
Burundi,1/31/2019,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",300,600,,0.5
Burundi,1/31/2019,"Bioline HIV/Syphilis DUO, 25 Tests",5632,1032,,5.46
Burundi,1/31/2019,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",476,235,,2.03
Burundi,1/31/2019,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",820,2714,,0.3
Burundi,1/31/2019,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",62328,3104,,20.08
Burundi,1/31/2019,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",2132,393,,5.42
Burundi,1/31/2019,"Lopinavir/Ritonavir 100/25 mg Tab, 60 Tabs",3734,390,,9.57
Burundi,1/31/2019,"Lopinavir/ritonavir 200/50 mg Tab, 120 Tabs",1017,0,,
Burundi,1/31/2019,"Lopinavir/ritonavir 40/10 mg Pellets in Capsules, 120 Caps",574,84,,6.83
Burundi,1/31/2019,"Nevirapine 10 mg/mL Susp w/ Syringe, 100 mL",2881,891,,3.23
Burundi,1/31/2019,"Nevirapine 200 mg Tablet, 60 Tabs",9736,2086,,4.67
Burundi,1/31/2019,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",81736,9166,,8.92
Burundi,1/31/2019,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",12120,1200,,10.1
Burundi,1/31/2019,"Raltegravir 400 mg Tablet, 60 Tabs",1328,18,,73.78
Burundi,1/31/2019,"Ritonavir 100 mg Tablet, 30 Tabs",624,18,,34.67
Burundi,1/31/2019,"Zidovudine 10 mg/mL Oral Suspension w/ Syringe, 240 mL",18426,1688,,10.92
Burundi,2/28/2019,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",4329,1061,,4.08
Burundi,2/28/2019,"Abacavir/Lamivudine 600/300 mg Tab, 30 Tabs",18032,1675,,10.77
Burundi,2/28/2019,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",4238,2069,,2.05
Burundi,2/28/2019,"Darunavir 600 mg Tablet, 60 Tabs",1261,18,,70.06
Burundi,2/28/2019,"Dolutegravir/Lamivudine/Tenofovir 50/300/300 mg Tablet, 30 Tabs",0,0,,0
Burundi,2/28/2019,"Dolutegravir 50 mg Tablet, 30 Tabs",660,0,,
Burundi,2/28/2019,"Efavirenz 200 mg Capsules, 90 Caps",5144,403,,12.76
Burundi,2/28/2019,"Efavirenz 600 mg Tablet, 30 Tabs",53320,3100,,17.2
Burundi,2/28/2019,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",136091,37532,,3.63
Burundi,2/28/2019,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",5589,600,,9.31
Burundi,2/28/2019,"HIV-1/2 OraQuick ADVANCE Rpd Ab Tst, 1 Test",10000,500,,20
Burundi,2/28/2019,"Bioline HIV/Syphilis DUO, 25 Tests",2820,1013,,2.78
Burundi,2/28/2019,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",372,179,,2.08
Burundi,2/28/2019,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",67,2714,,0.02
