Country,Date,Product,SOH,AMI,MOSact
Cote d'Ivoire,7/31/2018,"Abacavir/Lamivudine 60/30 mg Dispersible Tablet, 60 Tabs",134434,12753,10.54
Cote d'Ivoire,7/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",8088,3269.333333,2.47
Cote d'Ivoire,7/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",31803,1785,17.82
Cote d'Ivoire,7/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",509,137.3333333,3.71
Cote d'Ivoire,7/31/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",800,129.3333333,6.19
Cote d'Ivoire,7/31/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",0,0,0
Cote d'Ivoire,7/31/2018,"Efavirenz 200 mg Scored Tablet, 90 Tabs",20392,2545.666667,8.01
Cote d'Ivoire,7/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",31927,2189.333333,14.58
Cote d'Ivoire,7/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",1361648,167501,8.13
Cote d'Ivoire,7/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",42604,2811.666667,15.15
Cote d'Ivoire,7/31/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",3500,0,0
Cote d'Ivoire,7/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 20 Tests",9741,635.6666667,15.32
Cote d'Ivoire,7/31/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",5789,224.6666667,25.77
Cote d'Ivoire,7/31/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",7739,137,56.49
Cote d'Ivoire,7/31/2018,"Lamivudine/Tenofovir DF 150/300 mg, 30 Tabs",163820,14367.66667,11.4
Cote d'Ivoire,7/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",71512,6338,11.28
Cote d'Ivoire,7/31/2018,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",9849,348.6666667,28.25
Cote d'Ivoire,7/31/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",4378,609.3333333,7.18
Cote d'Ivoire,7/31/2018,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",76086,21106.66667,3.6
Cote d'Ivoire,7/31/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",0,0,0
Cote d'Ivoire,7/31/2018,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",3274,1797,1.82
Cote d'Ivoire,7/31/2018,"Nevirapine 50 mg Dispersible Tablet, 30 Tabs",262690,6600.333333,39.8
Cote d'Ivoire,7/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",114,0.666666667,171
Cote d'Ivoire,7/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 60 Tabs",0,1,0
Cote d'Ivoire,7/31/2018,"Tenofovir DF 300 mg Tablet, 30 Tabs",4992,670.6666667,7.44
Cote d'Ivoire,8/31/2018,"Abacavir 300 mg, Tablet, 60 Tabs",0,34.33333333,0
Cote d'Ivoire,8/31/2018,"Abacavir/Lamivudine 60/30 mg Dispersible Tablet, 60 Tabs",167350,13272.66667,12.61
Cote d'Ivoire,8/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",4855,3145,1.54
Cote d'Ivoire,8/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",30699,2079,14.77
Cote d'Ivoire,8/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",377,133.6666667,2.82
Cote d'Ivoire,8/31/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",619,91.66666667,6.75
Cote d'Ivoire,8/31/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",0,0,0
Cote d'Ivoire,8/31/2018,"Efavirenz 200 mg Scored Tablet, 90 Tabs",25528,2592.666667,9.85
Cote d'Ivoire,8/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",31523,2049.666667,15.38
Cote d'Ivoire,8/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",1746430,166768.6667,10.47
Cote d'Ivoire,8/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",40213,2844.333333,14.14
Cote d'Ivoire,8/31/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",3500,0,0
Cote d'Ivoire,8/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 20 Tests",9202,638.6666667,14.41
Cote d'Ivoire,8/31/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",5765,212.6666667,27.11
Cote d'Ivoire,8/31/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",7921,137.3333333,57.68
Cote d'Ivoire,8/31/2018,"Lamivudine/Tenofovir DF 150/300 mg, 30 Tabs",154754,14277.33333,10.84
Cote d'Ivoire,8/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",0,0,0
Cote d'Ivoire,8/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",68964,6223,11.08
Cote d'Ivoire,8/31/2018,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",9630,487.6666667,19.75
Cote d'Ivoire,8/31/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",4297,669.6666667,6.42
Cote d'Ivoire,8/31/2018,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",151251,19668.33333,7.69
Cote d'Ivoire,8/31/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",0,0,0
Cote d'Ivoire,8/31/2018,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",3038,1317.666667,2.31
Cote d'Ivoire,8/31/2018,"Nevirapine 10 mg/mL Suspension, 100 mL bottle",2124,954.3333333,2.23
Cote d'Ivoire,8/31/2018,"Nevirapine 50 mg Dispersible Tablet, 30 Tabs",268135,6579,40.76
Cote d'Ivoire,8/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",14,22,0.64
Cote d'Ivoire,8/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 60 Tabs",22,3,7.33
Cote d'Ivoire,8/31/2018,"Tenofovir DF 300 mg Tablet, 30 Tabs",4842,648.3333333,7.47
Cote d'Ivoire,8/31/2018,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",697,73.66666667,9.46
Cote d'Ivoire,9/30/2018,"Abacavir 300 mg, Tablet, 60 Tabs",4194,0.333333333,12582
Cote d'Ivoire,9/30/2018,"Abacavir/Lamivudine 60/30 mg Dispersible Tablet, 60 Tabs",152431,13837.33333,11.02
Cote d'Ivoire,9/30/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",3229,2819.666667,1.15
Cote d'Ivoire,9/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",27205,1975,13.77
Cote d'Ivoire,9/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",9,173,0.05
Cote d'Ivoire,9/30/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",351,158.3333333,2.22
Cote d'Ivoire,9/30/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",44000,0,0
Cote d'Ivoire,9/30/2018,"Efavirenz 200 mg Scored Tablet, 90 Tabs",23293,2722.333333,8.56
Cote d'Ivoire,9/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",88567,2036.666667,43.49
Cote d'Ivoire,9/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",1734610,166374.3333,10.43
Cote d'Ivoire,9/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",36940,2978.333333,12.4
Cote d'Ivoire,9/30/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",3500,0,0
Cote d'Ivoire,9/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 20 Tests",9402,671.3333333,14
Cote d'Ivoire,9/30/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",5601,220.3333333,25.42
Cote d'Ivoire,9/30/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",7832,133,58.89
Cote d'Ivoire,9/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",163029,14472.33333,11.26
Cote d'Ivoire,9/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",60026,6413.666667,9.36
Cote d'Ivoire,9/30/2018,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",12411,645.3333333,19.23
Cote d'Ivoire,9/30/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",23857,805.6666667,29.61
Cote d'Ivoire,9/30/2018,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",128130,19257.66667,6.65
Cote d'Ivoire,9/30/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",0,0,0
Cote d'Ivoire,9/30/2018,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",2857,846,3.38
Cote d'Ivoire,9/30/2018,"Nevirapine 10 mg/mL Suspension, 100 mL bottle",2124,954.3333333,2.23
Cote d'Ivoire,9/30/2018,"Nevirapine 50 mg Dispersible Tablet, 30 Tabs",265615,6952.333333,38.21
Cote d'Ivoire,9/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",0,26.33333333,0
Cote d'Ivoire,9/30/2018,"Ritonavir 100 mg Film-Coated Tablet, 60 Tabs",11,6.666666667,1.65
Cote d'Ivoire,9/30/2018,"Tenofovir DF 300 mg Tablet, 30 Tabs",13251,821.3333333,16.13
Cote d'Ivoire,9/30/2018,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",697,73.66666667,9.46
Cote d'Ivoire,10/31/2018,"Abacavir 300 mg, Tablet, 60 Tabs",9635,59.33333333,162.39
Cote d'Ivoire,10/31/2018,"Abacavir/Lamivudine 60/30 mg Dispersible Tablet, 60 Tabs",138790,16400,8.46
Cote d'Ivoire,10/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",3135,2263.333333,1.39
Cote d'Ivoire,10/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",27423,1879,14.59
Cote d'Ivoire,10/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",43,178.3333333,0.24
Cote d'Ivoire,10/31/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",107,245.3333333,0.44
Cote d'Ivoire,10/31/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",44000,0,0
Cote d'Ivoire,10/31/2018,"Efavirenz 200 mg Scored Tablet, 90 Tabs",21158,2753,7.69
Cote d'Ivoire,10/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",96040,1828.666667,52.52
Cote d'Ivoire,10/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",1576885,173841.6667,9.07
Cote d'Ivoire,10/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",33791,3138,10.77
Cote d'Ivoire,10/31/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",3500,0,0
Cote d'Ivoire,10/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 20 Tests",10520,618.3333333,17.01
Cote d'Ivoire,10/31/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",5280,238.6666667,22.12
Cote d'Ivoire,10/31/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",7757,137.6666667,56.35
Cote d'Ivoire,10/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",151492,15726.66667,9.63
Cote d'Ivoire,10/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",56093,6641.333333,8.45
Cote d'Ivoire,10/31/2018,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",11528,938,12.29
Cote d'Ivoire,10/31/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",23311,774.6666667,30.09
Cote d'Ivoire,10/31/2018,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",141863,20305.66667,6.99
Cote d'Ivoire,10/31/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",0,0,0
Cote d'Ivoire,10/31/2018,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",3691,331,11.15
Cote d'Ivoire,10/31/2018,"Nevirapine 10 mg/mL Suspension, 100 mL bottle",1380,891.6666667,1.55
Cote d'Ivoire,10/31/2018,"Nevirapine 50 mg Dispersible Tablet, 30 Tabs",238136,9779.666667,24.35
Cote d'Ivoire,10/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",20,45,0.44
Cote d'Ivoire,10/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 60 Tabs",417,15.66666667,26.62
Cote d'Ivoire,10/31/2018,"Tenofovir DF 300 mg Tablet, 30 Tabs",12380,739.3333333,16.74
Cote d'Ivoire,10/31/2018,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",1175,70.33333333,16.71
Cote d'Ivoire,11/30/2018,"Abacavir 300 mg, Tablet, 60 Tabs",9098,230.6666667,39.44
Cote d'Ivoire,11/30/2018,"Abacavir/Lamivudine 60/30 mg Dispersible Tablet, 60 Tabs",165221,15882.66667,10.4
Cote d'Ivoire,11/30/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",25545,1886,13.54
Cote d'Ivoire,11/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",25091,1940.333333,12.93
Cote d'Ivoire,11/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",474,197,2.41
Cote d'Ivoire,11/30/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",103,193,0.53
Cote d'Ivoire,11/30/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",44000,0,0
Cote d'Ivoire,11/30/2018,"Efavirenz 200 mg Scored Tablet, 90 Tabs",17813,2889,6.17
Cote d'Ivoire,11/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",94591,1600.333333,59.11
Cote d'Ivoire,11/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",1324542,175783.3333,7.54
Cote d'Ivoire,11/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",29358,3250.333333,9.03
Cote d'Ivoire,11/30/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",3500,0,0
Cote d'Ivoire,11/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 20 Tests",9567,668.3333333,14.31
Cote d'Ivoire,11/30/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",4833,258.3333333,18.71
Cote d'Ivoire,11/30/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",7435,185,40.19
Cote d'Ivoire,11/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",214369,15869.33333,13.51
Cote d'Ivoire,11/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",48546,6869.666667,7.07
Cote d'Ivoire,11/30/2018,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",10633,849,12.52
Cote d'Ivoire,11/30/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",22486,806,27.9
Cote d'Ivoire,11/30/2018,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",129162,20231.33333,6.38
Cote d'Ivoire,11/30/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",0,0,0
Cote d'Ivoire,11/30/2018,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",3349,359.3333333,9.32
Cote d'Ivoire,11/30/2018,"Nevirapine 10 mg/mL Suspension, 100 mL bottle",4149,751.3333333,5.52
Cote d'Ivoire,11/30/2018,"Nevirapine 50 mg Dispersible Tablet, 30 Tabs",229151,12578.33333,18.22
Cote d'Ivoire,11/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",0,29.66666667,0
Cote d'Ivoire,11/30/2018,"Ritonavir 100 mg Film-Coated Tablet, 60 Tabs",3827,109.6666667,34.9
Cote d'Ivoire,11/30/2018,"Tenofovir DF 300 mg Tablet, 30 Tabs",11737,754.3333333,15.56
Cote d'Ivoire,11/30/2018,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",2131,68.33333333,31.19
Cote d'Ivoire,12/31/2018,"Abacavir 300 mg, Tablet, 60 Tabs",8709,363.3333333,23.97
Cote d'Ivoire,12/31/2018,"Abacavir/Lamivudine 60/30 mg Dispersible Tablet, 60 Tabs",151549,15684,9.66
Cote d'Ivoire,12/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",21098,2064.333333,10.22
Cote d'Ivoire,12/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",33299,2232.333333,14.92
Cote d'Ivoire,12/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",279,186,1.5
Cote d'Ivoire,12/31/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",14300,102.6666667,139.29
Cote d'Ivoire,12/31/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",44000,0,0
Cote d'Ivoire,12/31/2018,"Efavirenz 200 mg Scored Tablet, 90 Tabs",15290,2796.333333,5.47
Cote d'Ivoire,12/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",93683,1644.666667,56.96
Cote d'Ivoire,12/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",1554390,178099,8.73
Cote d'Ivoire,12/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",26513,3332.666667,7.96
Cote d'Ivoire,12/31/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",3700,0,0
Cote d'Ivoire,12/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 20 Tests",8810,720.3333333,12.23
Cote d'Ivoire,12/31/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",4598,257.3333333,17.87
Cote d'Ivoire,12/31/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",6983,220.6666667,31.65
Cote d'Ivoire,12/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",238307,16155.66667,14.75
Cote d'Ivoire,12/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",50630,7084,7.15
Cote d'Ivoire,12/31/2018,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",8482,915,9.27
Cote d'Ivoire,12/31/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",21597,789.3333333,27.36
Cote d'Ivoire,12/31/2018,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",165319,20675.33333,8
Cote d'Ivoire,12/31/2018,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",0,0,0
Cote d'Ivoire,12/31/2018,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",2986,361.3333333,8.26
Cote d'Ivoire,12/31/2018,"Nevirapine 10 mg/mL Suspension, 100 mL bottle",4161,600,6.93
Cote d'Ivoire,12/31/2018,"Nevirapine 50 mg Dispersible Tablet, 30 Tabs",220699,15307,14.42
Cote d'Ivoire,12/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",10,25.33333333,0.39
Cote d'Ivoire,12/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 60 Tabs",7490,106.3333333,70.44
Cote d'Ivoire,12/31/2018,"Tenofovir DF 300 mg Tablet, 30 Tabs",11363,644,17.64
Cote d'Ivoire,12/31/2018,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",3672,62.33333333,58.91
Cote d'Ivoire,1/31/2019,"Abacavir 300 mg, Tablet, 60 Tabs",8623,305.6666667,28.21
Cote d'Ivoire,1/31/2019,"Abacavir/Lamivudine 60/30 mg Dispersible Tablet, 60 Tabs",139970,15518,9.02
Cote d'Ivoire,1/31/2019,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",19953,2590.333333,7.7
Cote d'Ivoire,1/31/2019,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",31745,2290,13.86
Cote d'Ivoire,1/31/2019,"Darunavir 600 mg Tablet, 60 Tabs",314,131.6666667,2.38
Cote d'Ivoire,1/31/2019,"Dolutegravir 50 mg Tablet, 30 Tabs",14172,149.3333333,94.9
Cote d'Ivoire,1/31/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",44000,0,0
Cote d'Ivoire,1/31/2019,"Efavirenz 200 mg Scored Tablet, 90 Tabs",23040,2999.333333,7.68
Cote d'Ivoire,1/31/2019,"Efavirenz 600 mg Tablet, 30 Tabs",91661,1705,53.76
Cote d'Ivoire,1/31/2019,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",1323092,185468.6667,7.13
Cote d'Ivoire,1/31/2019,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",22447,3292.666667,6.82
Cote d'Ivoire,1/31/2019,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",195000,0,0
Cote d'Ivoire,1/31/2019,"HIV-1/2 RTK, STAT-PAK Assay, 20 Tests",7664,659,11.63
Cote d'Ivoire,1/31/2019,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",4372,257.3333333,16.99
Cote d'Ivoire,1/31/2019,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",9346,215.6666667,43.34
Cote d'Ivoire,1/31/2019,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",221491,17400.33333,12.73
Cote d'Ivoire,1/31/2019,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",46114,6795.666667,6.79
Cote d'Ivoire,1/31/2019,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",5511,836,6.59
Cote d'Ivoire,1/31/2019,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",20698,828.6666667,24.98
Cote d'Ivoire,1/31/2019,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",181671,21737.66667,8.36
Cote d'Ivoire,1/31/2019,"Lopinavir/Ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",0,0,0
Cote d'Ivoire,1/31/2019,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",2714,371.6666667,7.3
Cote d'Ivoire,1/31/2019,"Nevirapine 10 mg/mL Suspension, 100 mL bottle",5569,718,7.76
Cote d'Ivoire,1/31/2019,"Nevirapine 50 mg Dispersible Tablet, 30 Tabs",186820,16444,11.36
Cote d'Ivoire,1/31/2019,"Raltegravir 400 mg Tablet, 60 Tabs",706,25.33333333,27.87
Cote d'Ivoire,1/31/2019,"Ritonavir 100 mg Film-Coated Tablet, 60 Tabs",3742,127.6666667,29.31
Cote d'Ivoire,1/31/2019,"Tenofovir DF 300 mg Tablet, 30 Tabs",10919,739,14.78
Cote d'Ivoire,1/31/2019,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",3557,61.66666667,57.68
Cote d'Ivoire,2/28/2019,"Abacavir 300 mg, Tablet, 60 Tabs",8313,344,24.17
Cote d'Ivoire,2/28/2019,"Abacavir/Lamivudine 60/30 mg Dispersible Tablet, 60 Tabs",173073,14624,11.83
Cote d'Ivoire,2/28/2019,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",71915,3300.666667,21.79
Cote d'Ivoire,2/28/2019,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",29517,2370.666667,12.45
Cote d'Ivoire,2/28/2019,"Darunavir 600 mg Tablet, 60 Tabs",1234,126,9.79
Cote d'Ivoire,2/28/2019,"Dolutegravir 50 mg Tablet, 30 Tabs",14671,188,78.04
Cote d'Ivoire,2/28/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",43965,12.33333333,3564.73
Cote d'Ivoire,2/28/2019,"Efavirenz 200 mg Scored Tablet, 90 Tabs",20401,2978.333333,6.85
Cote d'Ivoire,2/28/2019,"Efavirenz 600 mg Tablet, 30 Tabs",90144,1614,55.85
Cote d'Ivoire,2/28/2019,"Efavirenz/Lamivudine/Tenofovir DF 400/300/300 mg Tablet, 30 Tabs",0,0,0
Cote d'Ivoire,2/28/2019,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",1283080,183148,7.01
