Country,Date,Product,Type,Funder,Order,projOrder,SOH,AMI,projAMI,MOS,projMOS,Note
Botswana,3/31/2019,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,55489,37604,,1.5,,
Botswana,3/31/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,245109,95237,,2.6,,
Botswana,3/31/2019,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,236528,52879.3,,4.5,,
Botswana,4/30/2019,"Abacavir 300 mg, Tablet, 60 Tabs",Adult ARV,,,,6,11449.66667,,0,,"33,246 arrived in March, but most of it (27,983) were issued to facilities. An additional 16,623 was delivered at end of May."
Botswana,4/30/2019,"Abacavir 20 mg/mL Suspension, 240 mL bottle",Pediatric ARV,,,,952,614.6666667,,1.5,,"A shipment of 650 was expected in May, but hasn't arrived at the time of reporting. "
Botswana,4/30/2019,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,0,123,,0,,"196 was delivered in May, more are expected in June."
Botswana,4/30/2019,"Dolutegravir 50 mg Tablet, 30 Tabs",Adult ARV,,,,145846,19098.66667,,7.6,,
Botswana,4/30/2019,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,426402,67617.33333,,6.3,,
Botswana,4/30/2019,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,6644,547,,12.1,,
Botswana,4/30/2019,"Efavirenz 50 mg Capsule, 30 Caps",Pediatric ARV,,,,0,521.3333333,,0,,"The two orders planned for May have not arrived at the time of reporting (12,500 and 8,304). The alternative product is EFV200, with 12 MOS. DTG50 can also be given to >20kg patients. "
Botswana,4/30/2019,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,21178,29269,,0.7,,"41,434 was delivered in May, the remainder of the 140,000 order is expected in June"
Botswana,4/30/2019,"Efavirenz/Emtricitabine/Tenofovir DF 600/200/300 mg Tablet, 30 Tabs",Adult ARV,,,,195127,111981.3333,,1.7,,"An order of 428,711 is expected in June."
Botswana,4/30/2019,"Emtricitabine/Tenofovir DF 200/300 mg Tablet, 30 Tabs",Adult ARV,,,,102682,18774.66667,,5.5,,"Many patients will shift-off this product to TLD and the consumption will be reduced. However, it will not be phased out completely. A small number of patients who are on alternate 2nd line and 3rd line will still need this product ."
Botswana,4/30/2019,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,4312,691.6666667,,6.2,,
Botswana,4/30/2019,"HIV-1/2 Uni-Gold Rapid Test Kit, 20 Tests",RTK,,,,1471,1364.666667,,1.1,,The next shipment is by end of July 2019 and the quantity is 1000. Funding source is MOH.
Botswana,4/30/2019,"Lamivudine 150 mg Tablet, 60 Tabs",Pediatric ARV,,,,39095,10232.66667,,3.8,,"An order of 16,059 is expected in June."
Botswana,4/30/2019,"Lamivudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,,,,7562,942.6666667,,8,,
Botswana,4/30/2019,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,193436,66573.33333,,2.9,,
Botswana,4/30/2019,"Lamivudine/Zidovudine 30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,24,1799,,0,,300 packs were delivered in May. This product is going to be obselete very soon due to new pediatric optimization starting in July 2019. Consumption rate will be significantly reduced.
Botswana,4/30/2019,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,,,,1652,175,,9.4,,"An order of 7,000 is expected in June."
Botswana,4/30/2019,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",Adult ARV,,,,139912,7943,,17.6,,
Botswana,4/30/2019,"Lopinavir/ritonavir 80/20 mg/mL Solution, 60 mL bottle",Pediatric ARV,,,,5692,773.6666667,,7.4,,
Botswana,4/30/2019,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,396155,47051,,8.4,,
Botswana,4/30/2019,"Nevirapine  10 mg/mL, Suspension, 240 mL bottle",Pediatric ARV,,,,4567,155,,29.5,,
Botswana,4/30/2019,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,16515,78.33333333,,210.8,,
Botswana,4/30/2019,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,,,,2712,506.3333333,,5.4,,
Botswana,4/30/2019,"Zidovudine 100 mg Capsule, 100 Caps",Pediatric ARV,,,,11328,156,,72.6,,
Botswana,4/30/2019,"Zidovudine 300 mg Tablet, 60 Tabs",Adult ARV,,,,1242,175.6666667,,7.1,,
Burundi,5/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,629,836,,0.8,,
Burundi,5/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,2611,504,,5.2,,
Burundi,5/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1407,9,,156.3,,
Burundi,5/31/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,2028,552,,3.7,,
Burundi,5/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,78930,3801,,20.8,,
Burundi,5/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,267568,35938,,7.4,,
Burundi,5/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,6586,1201,,5.5,,
Burundi,5/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,1180,215,,5.5,,
Burundi,5/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,16520,2714,,6.1,,
Burundi,5/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,84903,3104,,27.4,,
Burundi,5/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,2611,504,,5.2,,
Burundi,5/31/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,861,8,,107.6,,
Burundi,5/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,23338,3055,,7.6,,
Burundi,5/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,151393,10001,,15.1,,
Burundi,5/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,7058,1388,,5.1,,
Burundi,5/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1441,19,,75.8,,
Burundi,5/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,839,25,,33.6,,
Burundi,6/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,11030,836,,13.2,,
Burundi,6/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,10896,1853,,5.9,,
Burundi,6/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1404,9,,156,,
Burundi,6/30/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,1369,552,,2.5,,
Burundi,6/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,75746,3801,,19.9,,
Burundi,6/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,120176,35938,,3.3,,
Burundi,6/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,3515,1201,,2.9,,
Burundi,6/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,1698,215,,7.9,,
Burundi,6/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,14265,2714,,5.3,,
Burundi,6/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,81440,3104,,26.2,,
Burundi,6/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,1955,504,,3.9,,
Burundi,6/30/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,803,8,,100.4,,
Burundi,6/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,22225,3055,,7.3,,
Burundi,6/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,141990,10001,,14.2,,
Burundi,6/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,11689,1388,,8.4,,
Burundi,6/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1418,19,,74.6,,
Burundi,6/30/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,830,25,,33.2,,
Burundi,7/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,10630,930,,11.4,,
Burundi,7/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",Adult ARV,,,,10928,1670,,6.5,,
Burundi,7/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,8361,1919,,4.4,,
Burundi,7/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1382,13,,106.3,,
Burundi,7/31/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,713,426,,1.7,,
Burundi,7/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,73126,3801,,19.2,,
Burundi,7/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,208494,35938,,5.8,,
Burundi,7/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,2536,1201,,2.1,,
Burundi,7/31/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",RTK,,,,2000,500,,4,,
Burundi,7/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,1569,215,,7.3,,
Burundi,7/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,12057,2754,,4.4,,
Burundi,7/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,78717,3104,,25.4,,
Burundi,7/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,1786,456,,3.9,,
Burundi,7/31/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,,,,3137,390,,8,,
Burundi,7/31/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,786,25,,31.4,,
Burundi,7/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,20135,2025,,9.9,,
Burundi,7/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,134741,9276,,14.5,,
Burundi,7/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,10311,1388,,7.4,,
Burundi,7/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1401,19,,73.7,,
Burundi,7/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,805,31,,26,,
Burundi,8/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,9267,985,,9.4,,
Burundi,8/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",Adult ARV,,,,9028,1632.666667,,5.5,,
Burundi,8/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,5716,2314.333333,,2.5,,
Burundi,8/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1373,11.33333333,,121.1,,
Burundi,8/31/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,289,575.3333333,,0.5,,
Burundi,8/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,70570,2831.666667,,24.9,,
Burundi,8/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,199188,33862,,5.9,,
Burundi,8/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,1060,1611.333333,,0.7,,
Burundi,8/31/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",RTK,,,,1250,416.6666667,,3,,
Burundi,8/31/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",RTK,,,,5159,778.6666667,,6.6,,
Burundi,8/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,1359,224.6666667,,6,,
Burundi,8/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,8745,2719,,3.2,,
Burundi,8/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,75788,2956,,25.6,,
Burundi,8/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,1508,344.3333333,,4.4,,
Burundi,8/31/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,,,,2581,496.3333333,,5.2,,
Burundi,8/31/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,752,33,,22.8,,
Burundi,8/31/2018,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,,,,3618,734.3333333,,4.9,,
Burundi,8/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,17715,1796.666667,,9.9,,
Burundi,8/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,125432,7826,,16,,
Burundi,8/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,8528,1471,,5.8,,
Burundi,8/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1393,16,,87.1,,
Burundi,8/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,787,15.33333333,,51.3,,
Burundi,9/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,8371,930,,9,,
Burundi,9/30/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",Adult ARV,,,,7986,1552,,5.1,,
Burundi,9/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,3291,2064,,1.6,,
Burundi,9/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1096,16,,68.5,,
Burundi,9/30/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,5000,457,,10.9,,
Burundi,9/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,68035,3390,,20.1,,
Burundi,9/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,345705,35831,,9.6,,
Burundi,9/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,1563,1471,,1.1,,
Burundi,9/30/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",RTK,,,,1100,400,,2.8,,
Burundi,9/30/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",RTK,,,,5227,1084,,4.8,,
Burundi,9/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,1102,235,,4.7,,
Burundi,9/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,4348,3167,,1.4,,
Burundi,9/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,73103,3340,,21.9,,
Burundi,9/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,1345,393,,3.4,,
Burundi,9/30/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,,,,4050,550,,7.4,,
Burundi,9/30/2018,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",Adult ARV,,,,0,485,,0,,
Burundi,9/30/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,725,30,,24.2,,
Burundi,9/30/2018,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,,,,2879,779,,3.7,,
Burundi,9/30/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,16429,3055,,5.4,,
Burundi,9/30/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,117568,10001,,11.8,,
Burundi,9/30/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,6773,1452,,4.7,,
Burundi,9/30/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1378,16,,86.1,,
Burundi,9/30/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,784,16,,49,,
Burundi,9/30/2018,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,,,,762,881,,0.9,,
Burundi,10/31/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,6739,1124,,6,,
Burundi,10/31/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",Adult ARV,,,,7970,1552,,5.1,,
Burundi,10/31/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,1093,2094,,0.5,,
Burundi,10/31/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1350,18,,75,,
Burundi,10/31/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,5000,552,,9.1,,
Burundi,10/31/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,64736,3406,,19,,
Burundi,10/31/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,315665,39681,,8,,
Burundi,10/31/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,1082,583,,1.9,,
Burundi,10/31/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",RTK,,,,1100,500,,2.2,,
Burundi,10/31/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",RTK,,,,4081,1033,,4,,
Burundi,10/31/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,911,235,,3.9,,
Burundi,10/31/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,13043,3409,,3.8,,
Burundi,10/31/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,79366,3309,,24,,
Burundi,10/31/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,1157,393,,2.9,,
Burundi,10/31/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,,,,3412,537,,6.4,,
Burundi,10/31/2018,"Lopinavir/ritonavir 200/50 mg Tablet, 120 Tabs",Adult ARV,,,,0,0,,0,,
Burundi,10/31/2018,"Lopinavir/ritonavir 40/10 mg, Pellets in Capsules, 120 Caps ",Pediatric ARV,,,,630,40,,15.8,,
Burundi,10/31/2018,"Nevirapine 10 mg/mL Suspension w/ Syringe, 100 mL bottle",Pediatric ARV,,,,2879,800,,3.6,,
Burundi,10/31/2018,"Nevirapine 200 mg Tablet, 60 Tabs",Adult ARV,,,,13980,2112,,6.6,,
Burundi,10/31/2018,"Nevirapine/Lamivudine/Zidovudine 200/150/300 mg Tablet, 60 Tabs",Adult ARV,,,,109291,9691,,11.3,,
Burundi,10/31/2018,"Nevirapine/Lamivudine/Zidovudine 50/30/60 mg Dispersible Tablet, 60 Tabs",Pediatric ARV,,,,5451,1516,,3.6,,
Burundi,10/31/2018,"Raltegravir 400 mg Tablet, 60 Tabs",Adult ARV,,,,1371,18,,76.2,,
Burundi,10/31/2018,"Ritonavir 100 mg Film-Coated Tablet, 30 Tabs",Pediatric ARV,,,,774,18,,43,,
Burundi,10/31/2018,"Zidovudine 10 mg/mL Solution w/ Syringe, 240 mL",Pediatric ARV,,,,0,885,,0,,
Burundi,11/30/2018,"Abacavir/Lamivudine 60/30 mg Tablet, 60 Tabs",Pediatric ARV,,,,5791,827,,7,,
Burundi,11/30/2018,"Abacavir/Lamivudine 600/300 mg Tablet, 30 Tabs",Adult ARV,,,,6307,1338,,4.7,,
Burundi,11/30/2018,"Atazanavir/ritonavir 300/100 mg Tablet, 30 Tabs",Adult ARV,,,,13784,2094,,6.6,,
Burundi,11/30/2018,"Darunavir 600 mg Tablet, 60 Tabs",Adult ARV,,,,1330,18,,73.9,,
Burundi,11/30/2018,"Dolutegravir/Lamivudine/Tenofovir DF 50/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,0,0,,0,,
Burundi,11/30/2018,"Dolutegravir 50 mg Tablet, 30 Tabs",Adult ARV,,,,0,0,,0,,
Burundi,11/30/2018,"Efavirenz 200 mg, Capsules, 90 Caps",Pediatric ARV,,,,8119,552,,14.7,,
Burundi,11/30/2018,"Efavirenz 600 mg Tablet, 30 Tabs",Adult ARV,,,,61874,3406,,18.2,,
Burundi,11/30/2018,"Efavirenz/Lamivudine/Tenofovir DF 600/300/300 mg Tablet, 30 Tabs",Adult ARV,,,,275362,39681,,6.9,,
Burundi,11/30/2018,"HIV-1/2 Determine Rapid Test Kit, 100 Tests",RTK,,,,455,583,,0.8,,
Burundi,11/30/2018,"HIV-1/2 RTK, OraQuick ADVANCE Rapid Antibody Test, 100 Tests",RTK,,,,600,500,,1.2,,
Burundi,11/30/2018,"HIV-1/2 SD Bioline 3.0, Rapid Test Kit, 25 Tests",RTK,,,,3226,1033,,3.1,,
Burundi,11/30/2018,"HIV-1/2 RTK, STAT-PAK Assay, 30 Tests",RTK,,,,719,235,,3.1,,
Burundi,11/30/2018,"Lamivudine/Tenofovir DF 300/300 mg Tablet, 30 Tabs",Adult ARV,,,,9412,3409,,2.8,,
Burundi,11/30/2018,"Lamivudine/Zidovudine 150/300 mg Tablet, 60 Tabs",Adult ARV,,,,67983,3309,,20.5,,
Burundi,11/30/2018,"Lamivudine/Zidovudine 30/60 mg Tablet, 60 Tabs",Pediatric ARV,,,,757,393,,1.9,,
Burundi,11/30/2018,"Lopinavir/ritonavir 100/25 mg Tablet, 60 Tabs",Pediatric ARV,,,,3198,537,,6,,
